,District Number,Zip Codes,District,Campus Number,Campus,Region,County,School Type,Grades Served,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score,Support Label,Public Education Grant,Distinction ELA/Reading,Distinction Mathematics,Distinction Science,Distinction Soc Studies,Distinction Progress,Distinction Closing the Gaps,Distinction Postsecondary Readiness,US Congress District,US Congress Election District,TX House District,TX House Election District,TX Senate District,TX Senate Election District,Campus Enrollment Type
9866,220817,,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,220817006,NEWMAN INTERNATIONAL ACADEMY AT PIONEER,REGION 11: FORT WORTH,TARRANT,Middle School,6-Jun,No,Yes,90,61.10%,22.20%,C,75,C,73,C,75,C,75,C,74,C,76,,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,6,25,94,94,10,10,OPEN ENROLLMENT CHARTER SCHOOL
9867,220901,,ARLINGTON ISD,220901041,CARTER J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,"1,041",91.20%,64.50%,C,73,Not Rated: Senate Bill 1365,57,C,74,C,74,Not Rated: Senate Bill 1365,63,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,6,94,101,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9868,220901,,ARLINGTON ISD,220901045,BAILEY J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,835,61.80%,22.20%,A,91,B,81,A,92,A,92,B,86,A,90,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,6,25,94,94,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9869,220901,,ARLINGTON ISD,220901047,GUNN J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,619,70.10%,28.10%,B,80,C,75,B,81,B,81,B,81,C,77,,,Earned,Earned,Not Earned,Not Earned,Earned,Not Earned,Earned,6,25,94,94,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9870,220901,,ARLINGTON ISD,220901048,SHACKELFORD J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,729,68.90%,33.90%,B,81,C,76,B,84,B,84,B,83,C,75,Targeted Support,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,25,93,94,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9871,220901,,ARLINGTON ISD,220901049,YOUNG J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,827,45.50%,9.40%,A,93,B,86,A,92,A,92,B,85,A,95,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,6,25,94,94,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9872,220901,,ARLINGTON ISD,220901050,WORKMAN J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,"1,433",89.00%,46.80%,C,77,Not Rated: Senate Bill 1365,62,B,80,B,80,C,72,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,25,94,101,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9873,220901,,ARLINGTON ISD,220901051,BOLES J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,712,43.70%,9.10%,B,85,B,84,B,88,B,88,B,81,C,79,,,Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,6,25,94,96,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9874,220901,,ARLINGTON ISD,220901052,BARNETT J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,707,70.90%,23.90%,B,84,C,75,B,86,B,86,B,82,C,79,Targeted Support,,Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,6,6,101,101,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9875,220901,,ARLINGTON ISD,220901053,NICHOLS J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,726,83.30%,21.20%,B,88,C,70,A,91,A,91,C,79,B,81,,,Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,6,25,93,92,9,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9876,220901,,ARLINGTON ISD,220901055,OUSLEY J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,959,71.50%,28.70%,B,89,B,80,A,91,A,91,B,88,B,85,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,6,25,101,101,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9877,220902,,BIRDVILLE ISD,220902041,HALTOM MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,"1,002",81.60%,44.50%,C,79,C,74,B,83,C,77,B,83,C,71,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9878,220902,,BIRDVILLE ISD,220902042,NORTH RICHLAND MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,874,62.10%,22.40%,C,76,C,74,C,77,C,72,C,77,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,24,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9879,220902,,BIRDVILLE ISD,220902043,RICHLAND MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,654,78.60%,27.40%,B,83,C,76,B,86,C,72,B,86,C,76,Targeted Support,,Not Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,12,12,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9880,220902,,BIRDVILLE ISD,220902044,NORTH OAKS MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,541,72.60%,22.20%,C,70,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9881,220902,,BIRDVILLE ISD,220902045,WATAUGA MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,671,70.20%,29.20%,B,83,C,75,B,83,B,83,B,82,B,83,Targeted Support,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,26,24,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9882,220902,,BIRDVILLE ISD,220902046,SMITHFIELD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,826,25.20%,6.10%,A,95,A,93,A,93,A,93,A,91,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,12,24,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9883,220902,,BIRDVILLE ISD,220902047,NORTH RIDGE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,657,37.70%,6.50%,B,86,B,86,B,81,B,80,B,81,B,85,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,26,24,91,91,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9884,220904,,EVERMAN ISD,220904041,CHARLES BAXTER J H,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,827,94.00%,30.20%,C,76,Not Rated: Senate Bill 1365,62,C,77,C,77,C,72,C,72,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,33,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9885,220904,,EVERMAN ISD,220904042,ROY JOHNSON STEM ACADEMY,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,396,92.70%,32.80%,B,85,C,76,B,88,B,83,B,88,C,79,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,33,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9886,220905,,FORT WORTH ISD,220905042,DAGGETT MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,352,90.10%,55.70%,C,71,Not Rated: Senate Bill 1365,55,C,70,C,70,Not Rated: Senate Bill 1365,59,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,90,90,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9887,220905,,FORT WORTH ISD,220905043,WEDGWOOD 6TH GR SCH,REGION 11: FORT WORTH,TARRANT,Middle School,6-Jun,No,No,341,90.30%,33.10%,Not Rated: Senate Bill 1365,64,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,66,Comprehensive Reidentified,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,12,12,97,97,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9888,220905,,FORT WORTH ISD,220905044,ELDER MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,955,93.00%,55.50%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,62,Comprehensive Identified,Yes,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,90,90,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9889,220905,,FORT WORTH ISD,220905045,FOREST OAK MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,877,97.00%,50.70%,B,85,Not Rated: Senate Bill 1365,67,B,88,B,88,C,79,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Earned,33,33,90,90,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9890,220905,,FORT WORTH ISD,220905048,JAMES MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,817,97.60%,67.00%,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,57,C,70,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,90,90,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9891,220905,,FORT WORTH ISD,220905049,KIRKPATRICK MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,484,97.70%,63.60%,B,81,Not Rated: Senate Bill 1365,60,B,83,B,83,C,72,C,75,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,90,90,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9892,220905,,FORT WORTH ISD,220905050,MCLEAN MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,953,68.00%,30.20%,B,82,C,78,B,85,B,84,B,85,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,12,12,97,97,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9893,220905,,FORT WORTH ISD,220905051,MEACHAM MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,738,94.00%,61.00%,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,68,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,90,90,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9894,220905,,FORT WORTH ISD,220905052,MEADOWBROOK MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,822,94.30%,40.00%,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,61,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,33,95,95,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9895,220905,,FORT WORTH ISD,220905053,MONNIG MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,586,82.40%,21.20%,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,56,Comprehensive Identified,Yes,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,97,99,12,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9896,220905,,FORT WORTH ISD,220905054,MORNINGSIDE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,523,98.30%,43.60%,C,71,Not Rated: Senate Bill 1365,51,C,72,C,72,Not Rated: Senate Bill 1365,55,C,70,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9897,220905,,FORT WORTH ISD,220905055,APPLIED LEARNING ACAD,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,319,58.30%,24.10%,B,86,B,81,B,86,B,86,B,85,B,86,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,12,12,97,97,12,10,SELECTIVE ENROL SCHL-CRITERIA-BASED
9898,220905,,FORT WORTH ISD,220905056,RIVERSIDE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,873,94.00%,59.20%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,65,Comprehensive Identified,Yes,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,93,93,10,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9899,220905,,FORT WORTH ISD,220905057,ROSEMONT MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,"1,303",95.20%,61.60%,C,74,Not Rated: Senate Bill 1365,60,C,74,C,74,C,72,C,74,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,90,90,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9900,220905,,FORT WORTH ISD,220905058,STRIPLING MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,566,67.50%,21.90%,B,80,C,76,B,82,C,75,B,82,C,74,,,Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,12,12,99,99,12,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9901,220905,,FORT WORTH ISD,220905059,PHALEN LEADERSHIP ACADEMY AT JAMES MARTIN JACQUET,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,645,97.70%,34.00%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,51,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,55,C,70,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,33,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9902,220905,,FORT WORTH ISD,220905060,WEDGWOOD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,722,92.20%,31.60%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,58,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,97,97,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9903,220905,,FORT WORTH ISD,220905061,LEONARD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,665,93.40%,26.90%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,64,Comprehensive Reidentified,Yes,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,97,97,12,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9904,220905,,FORT WORTH ISD,220905062,INT'L NEWCOMER ACAD,REGION 11: FORT WORTH,TARRANT,Middle School,9-Jun,Yes,No,254,98.40%,98.80%,Not Rated: Senate Bill 1365,45,Not Rated: Senate Bill 1365,45,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,12,12,97,97,12,10,SELECTIVE ENRL SCHL-SPCL PGM-BASED
9905,220905,,FORT WORTH ISD,220905064,LEADERSHIP ACADEMY AT FOREST OAK 6TH GRADE,REGION 11: FORT WORTH,TARRANT,Middle School,6-Jun,No,No,349,98.00%,52.70%,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,39,Comprehensive Reidentified,Yes,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,33,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9906,220905,,FORT WORTH ISD,220905069,MCLEAN 6TH GRADE,REGION 11: FORT WORTH,TARRANT,Middle School,6-Jun,No,No,435,59.10%,28.70%,B,89,B,85,A,90,B,81,A,90,B,86,,,Not Earned,Not Earned,,,Not Earned,Earned,Earned,12,12,97,97,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9907,220905,,FORT WORTH ISD,220905070,JEAN MCCLUNG MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,790,94.10%,25.80%,C,70,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,60,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,33,95,95,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9908,220906,,GRAPEVINE-COLLEYVILLE ISD,220906041,GRAPEVINE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,691,37.60%,16.20%,B,86,B,85,B,84,B,84,C,79,B,87,,,Not Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,24,24,98,98,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
9909,220906,,GRAPEVINE-COLLEYVILLE ISD,220906042,COLLEYVILLE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,615,6.70%,1.60%,A,95,A,93,A,91,A,91,C,75,A,100,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,24,24,98,98,10,12,ZONED SCHOOL-TRANSFERS ACCEPTED
9910,220906,,GRAPEVINE-COLLEYVILLE ISD,220906043,HERITAGE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,755,21.90%,8.10%,A,95,A,93,A,92,A,92,B,88,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,24,24,98,98,10,12,ZONED SCHOOL-TRANSFERS ACCEPTED
9911,220906,,GRAPEVINE-COLLEYVILLE ISD,220906044,CROSS TIMBERS MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,828,27.50%,15.80%,B,89,A,92,A,91,A,91,B,86,B,82,Targeted Support,,Earned,Earned,Not Earned,Earned,Earned,Not Earned,Earned,24,24,98,98,9,12,ZONED SCHOOL-TRANSFERS ACCEPTED
9912,220907,,KELLER ISD,220907003,TARRANT CO J J A E P,REGION 11: FORT WORTH,TARRANT,Middle School,9-Aug,No,No,2,0.00%,0.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,26,24,98,98,9,9,SPECIAL ASSIGNMENT SCHOOL
9913,220907,,KELLER ISD,220907007,KELLER COLLEGIATE ACADEMY,REGION 11: FORT WORTH,TARRANT,Middle School,9-Aug,No,No,149,27.50%,10.70%,A,95,A,93,A,91,A,91,A,91,A,100,,,Not Earned,Earned,,Not Earned,Not Earned,Earned,Earned,12,12,93,93,9,9,SELECTIVE ENROL SCHL-CRITERIA-BASED
9914,220907,,KELLER ISD,220907041,KELLER MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,984,7.50%,1.60%,A,91,A,92,A,91,A,91,C,70,B,87,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,26,24,98,98,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9915,220907,,KELLER ISD,220907042,FOSSIL HILL MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,910,48.00%,17.30%,C,76,C,73,C,77,C,77,Not Rated: Senate Bill 1365,60,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,93,93,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9916,220907,,KELLER ISD,220907043,HILLWOOD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,"1,229",29.00%,7.40%,B,82,B,84,B,85,B,85,Not Rated: Senate Bill 1365,66,C,76,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,26,24,91,91,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9917,220907,,KELLER ISD,220907044,INDIAN SPRINGS MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-May,No,No,916,12.90%,3.90%,A,92,A,91,B,89,B,89,C,70,A,94,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,26,24,91,91,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9918,220907,,KELLER ISD,220907045,TRINITY SPRINGS MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,964,25.60%,9.80%,B,85,B,87,B,86,B,86,C,70,B,80,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,26,24,93,93,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9919,220907,,KELLER ISD,220907046,TIMBERVIEW MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-May,No,No,"1,102",19.90%,5.50%,B,87,B,88,B,85,B,85,Not Rated: Senate Bill 1365,66,B,85,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,26,24,93,93,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9920,220907,,KELLER ISD,220907047,VISTA RIDGE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,823,41.20%,14.00%,C,73,C,73,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,58,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,12,12,93,93,9,9,ZONED SCHOOL-TRANSFERS ACCEPTED
9921,220907,,KELLER ISD,220907104,BEAR CREEK INT,REGION 11: FORT WORTH,TARRANT,Middle School,6-May,No,No,913,8.40%,2.80%,A,94,A,92,B,88,B,88,Not Rated: Senate Bill 1365,69,A,98,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,26,24,98,98,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9922,220907,,KELLER ISD,220907114,PARKWOOD HILL INT,REGION 11: FORT WORTH,TARRANT,Middle School,6-May,No,No,"1,177",29.80%,15.00%,B,83,B,84,C,77,C,77,Not Rated: Senate Bill 1365,69,B,82,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,26,24,91,91,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9923,220907,,KELLER ISD,220907123,TRINITY MEADOWS INT,REGION 11: FORT WORTH,TARRANT,Middle School,6-May,No,No,864,25.30%,14.50%,B,86,B,85,B,81,B,81,Not Rated: Senate Bill 1365,66,B,89,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,26,24,93,93,9,9,ZONED SCHOOL- NO TRANSFERS ACCEPTED
9924,220908,,MANSFIELD ISD,220908041,ROGENE WORLEY MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,685,41.20%,10.50%,B,86,B,85,B,86,B,86,B,81,B,87,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,6,96,96,10,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9925,220908,,MANSFIELD ISD,220908042,T A HOWARD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,704,64.20%,10.50%,B,80,C,74,B,81,B,81,C,77,C,76,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,25,94,96,10,10,ZONED SCHOOL-TRANSFERS ACCEPTED
9926,220908,,MANSFIELD ISD,220908043,BROOKS WESTER MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jun,No,No,"1,049",32.90%,5.20%,A,93,A,92,A,91,A,91,A,90,A,96,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,6,6,96,96,10,22,COMBINED ENROLLMENT TYPE SCHOOL
9927,220908,,MANSFIELD ISD,220908044,DANNY JONES MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,890,24.20%,3.60%,B,88,A,90,B,84,B,84,C,75,B,82,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,6,6,96,101,10,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9928,220908,,MANSFIELD ISD,220908045,JAMES COBLE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,923,54.00%,10.30%,B,82,B,80,B,85,B,85,B,81,C,75,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,6,101,101,22,23,ZONED SCHOOL-TRANSFERS ACCEPTED
9929,220908,,MANSFIELD ISD,220908046,LINDA JOBE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,903,46.30%,10.20%,B,81,B,82,B,83,B,83,B,80,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,25,96,96,10,22,ZONED SCHOOL-TRANSFERS ACCEPTED
9930,220908,,MANSFIELD ISD,220908047,CHARLENE MCKINZEY MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,8-Jul,No,No,752,30.10%,4.50%,A,91,A,90,A,90,A,90,B,81,A,93,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,6,96,96,10,22,COMBINED ENROLLMENT TYPE SCHOOL
