,District Number,Zip Codes,District,Region,County,School Type,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score
371,72801,,PREMIER HIGH SCHOOLS,REGION 11: FORT WORTH,ERATH,District,Yes,Yes,"6,822",60.10%,10.00%,Not Rated: Data Under Review,95,A,91,B,80,B,80,Not Rated,        .,B,89
372,72802,,ERATH EXCELS ACADEMY INC,REGION 11: FORT WORTH,ERATH,District,Yes,Yes,94,88.30%,7.40%,B,88,B,81,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
373,72901,,THREE WAY ISD,REGION 11: FORT WORTH,ERATH,District,No,No,236,73.30%,14.80%,C,76,C,77,C,77,Not Rated: Senate Bill 1365,60,C,77,C,72
374,72902,,DUBLIN ISD,REGION 11: FORT WORTH,ERATH,District,No,No,"1,087",68.10%,19.60%,A,94,A,92,A,92,B,89,A,92,A,100
375,72903,,STEPHENVILLE ISD,REGION 11: FORT WORTH,ERATH,District,No,No,"3,688",49.80%,14.00%,A,91,A,90,B,89,B,82,B,89,A,94
376,72904,,BLUFF DALE ISD,REGION 11: FORT WORTH,ERATH,District,No,No,227,27.30%,0.40%,C,76,C,78,C,73,C,73,Not Rated: Senate Bill 1365,56,C,72
377,72908,,HUCKABAY ISD,REGION 11: FORT WORTH,ERATH,District,No,No,304,22.40%,2.00%,A,90,A,93,A,91,A,91,B,82,B,83
378,72909,,LINGLEVILLE ISD,REGION 11: FORT WORTH,ERATH,District,No,No,284,44.00%,20.10%,A,90,B,88,A,90,A,90,B,82,B,89
379,72910,,MORGAN MILL ISD,REGION 11: FORT WORTH,ERATH,District,No,No,118,50.80%,0.00%,B,86,C,78,A,91,A,91,C,77,C,73
380,73901,,CHILTON ISD,REGION 12: WACO,FALLS,District,No,No,546,87.40%,20.50%,A,90,B,87,A,93,B,87,A,93,B,82
381,73903,,MARLIN ISD,REGION 12: WACO,FALLS,District,No,No,882,99.20%,16.30%,B,86,B,80,A,92,C,76,A,92,C,73
382,73904,,WESTPHALIA ISD,REGION 12: WACO,FALLS,District,No,No,155,18.70%,3.90%,A,95,A,93,B,89,B,89,B,83,A,100
383,73905,,ROSEBUD-LOTT ISD,REGION 12: WACO,FALLS,District,No,No,716,65.40%,7.30%,B,88,B,86,A,92,C,76,A,92,C,78
384,74903,,BONHAM ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,"1,885",70.40%,16.70%,C,77,C,79,B,80,C,79,B,80,C,71
385,74904,,DODD CITY ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,328,34.10%,2.40%,A,92,A,94,A,91,B,81,A,91,B,86
386,74905,,ECTOR ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,234,46.20%,2.60%,C,78,B,80,C,75,C,70,C,75,C,74
387,74907,,HONEY GROVE ISD,REGION 08: MT PLEASANT,FANNIN,District,No,No,640,60.30%,8.30%,A,93,A,94,A,94,A,90,A,94,B,89
388,74909,,LEONARD ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,825,45.30%,6.30%,B,83,B,86,B,82,B,82,C,79,C,75
389,74911,,SAVOY ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,303,56.10%,2.30%,B,89,A,90,A,91,C,79,A,91,B,85
390,74912,,TRENTON ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,725,23.40%,12.00%,B,89,A,91,A,90,A,90,A,90,B,83
391,74917,,SAM RAYBURN ISD,REGION 10: RICHARDSON,FANNIN,District,No,No,517,41.20%,4.30%,A,93,A,94,A,94,A,90,A,94,B,89
392,75901,,FLATONIA ISD,REGION 13: AUSTIN,FAYETTE,District,No,No,629,52.00%,9.20%,A,97,A,96,A,95,A,91,A,95,A,100
393,75902,,LA GRANGE ISD,REGION 13: AUSTIN,FAYETTE,District,No,No,"1,868",53.30%,17.10%,B,87,B,87,B,88,B,85,B,88,B,83
394,75903,,SCHULENBURG ISD,REGION 13: AUSTIN,FAYETTE,District,No,No,696,61.50%,12.80%,B,88,B,89,A,92,C,73,A,92,C,78
395,75906,,FAYETTEVILLE ISD,REGION 13: AUSTIN,FAYETTE,District,No,No,279,20.40%,6.10%,A,92,A,95,B,89,B,89,B,87,B,85
396,75908,,ROUND TOP-CARMINE ISD,REGION 13: AUSTIN,FAYETTE,District,No,No,240,34.60%,10.00%,A,95,A,93,A,93,A,93,B,89,A,100
397,76903,,ROBY CISD,REGION 14: ABILENE,FISHER,District,No,No,329,53.80%,2.70%,B,83,B,85,B,83,C,79,B,83,C,79
398,76904,,ROTAN ISD,REGION 14: ABILENE,FISHER,District,No,No,242,66.10%,5.40%,A,93,A,90,B,88,B,84,B,88,A,100
399,77901,,FLOYDADA COLLEGIATE ISD,REGION 17: LUBBOCK,FLOYD,District,No,No,686,76.20%,7.70%,B,86,B,89,B,89,C,76,A,93,B,80
400,77902,,LOCKNEY ISD,REGION 17: LUBBOCK,FLOYD,District,No,No,430,80.90%,5.60%,B,81,B,80,B,85,B,85,B,85,C,72
401,78901,,CROWELL ISD,REGION 09: WICHITA FALLS,FOARD,District,No,No,192,72.90%,1.60%,B,88,B,89,A,92,A,92,A,92,C,79
402,79901,,LAMAR CISD,REGION 04: HOUSTON,FORT BEND,District,No,No,"38,877",49.50%,17.50%,A,90,B,88,A,90,A,90,B,88,B,89
403,79906,,NEEDVILLE ISD,REGION 04: HOUSTON,FORT BEND,District,No,No,"3,378",39.30%,10.00%,A,94,A,92,A,91,A,91,A,90,A,98
404,79907,,FORT BEND ISD,REGION 04: HOUSTON,FORT BEND,District,No,No,"76,543",47.80%,18.50%,B,89,B,89,B,89,A,90,B,89,B,88
405,79910,,STAFFORD MSD,REGION 04: HOUSTON,FORT BEND,District,No,No,"3,511",74.10%,22.50%,B,87,B,84,B,89,B,84,B,89,B,82
406,80901,,MOUNT VERNON ISD,REGION 08: MT PLEASANT,FRANKLIN,District,No,No,"1,523",62.10%,13.50%,A,90,A,91,A,92,B,89,A,92,B,85
407,81902,,FAIRFIELD ISD,REGION 12: WACO,FREESTONE,District,No,No,"1,681",61.30%,6.50%,B,89,B,89,A,92,B,84,A,92,B,81
408,81904,,TEAGUE ISD,REGION 12: WACO,FREESTONE,District,No,No,"1,181",66.70%,10.10%,A,92,A,91,A,92,B,84,A,92,A,91
409,81905,,WORTHAM ISD,REGION 12: WACO,FREESTONE,District,No,No,520,64.40%,9.40%,B,84,B,85,B,88,Not Rated: Senate Bill 1365,58,B,88,C,76
410,81906,,DEW ISD,REGION 12: WACO,FREESTONE,District,No,No,133,65.40%,4.50%,B,82,B,83,B,86,B,80,B,86,C,74
411,82902,,DILLEY ISD,REGION 20: SAN ANTONIO,FRIO,District,No,No,907,83.50%,4.60%,B,85,B,81,B,89,B,84,A,92,C,75
412,82903,,PEARSALL ISD,REGION 20: SAN ANTONIO,FRIO,District,No,No,"2,031",85.80%,7.30%,B,85,C,79,A,90,B,80,A,90,C,74
413,83901,,SEAGRAVES ISD,REGION 17: LUBBOCK,GAINES,District,No,No,516,77.70%,26.00%,B,82,C,79,B,86,B,81,B,86,C,71
414,83902,,LOOP ISD,REGION 17: LUBBOCK,GAINES,District,No,No,150,47.30%,10.00%,A,91,A,93,A,92,B,82,A,92,B,86
415,83903,,SEMINOLE ISD,REGION 17: LUBBOCK,GAINES,District,No,No,"2,957",55.90%,17.30%,A,92,B,88,A,90,B,84,A,90,A,95
416,84802,,ODYSSEY ACADEMY INC,REGION 04: HOUSTON,GALVESTON,District,No,Yes,"1,492",79.70%,19.20%,B,89,B,83,A,92,Not Rated: Senate Bill 1365,69,A,92,B,81
417,84804,,AMBASSADORS PREPARATORY ACADEMY,REGION 04: HOUSTON,GALVESTON,District,No,Yes,189,87.30%,0.00%,A,91,C,77,A,94,A,94,B,85,B,83
418,84901,,DICKINSON ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"11,901",64.30%,17.60%,B,86,B,82,B,89,C,76,A,90,C,79
419,84902,,GALVESTON ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"6,650",79.30%,22.80%,B,84,C,75,B,86,Not Rated: Senate Bill 1365,69,B,86,B,80
420,84903,,HIGH ISLAND ISD,REGION 05: BEAUMONT,GALVESTON,District,No,No,158,58.20%,0.00%,A,91,A,93,A,93,B,87,A,93,B,85
421,84906,,TEXAS CITY ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"7,756",84.10%,11.80%,B,85,C,76,B,89,C,79,B,89,C,74
422,84908,,HITCHCOCK ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"1,715",79.90%,8.10%,B,88,B,83,A,92,C,76,A,92,C,77
423,84909,,SANTA FE ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"4,325",50.20%,6.30%,B,84,B,85,B,85,C,76,B,85,B,83
424,84910,,CLEAR CREEK ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"40,235",35.60%,11.80%,B,89,B,89,B,89,B,89,B,84,B,89
425,84911,,FRIENDSWOOD ISD,REGION 04: HOUSTON,GALVESTON,District,No,No,"6,155",11.10%,2.40%,A,97,A,95,A,92,A,92,B,84,A,100
426,85902,,POST ISD,REGION 17: LUBBOCK,GARZA,District,No,No,784,71.00%,8.90%,B,85,B,87,B,89,C,79,A,93,C,76
427,85903,,SOUTHLAND ISD,REGION 17: LUBBOCK,GARZA,District,No,No,114,71.10%,0.00%,C,74,Not Rated: Senate Bill 1365,67,C,75,C,75,Not Rated: Senate Bill 1365,59,C,71
428,86024,,DOSS CONSOLIDATED CSD,REGION 13: AUSTIN,GILLESPIE,District,No,No,24,0.00%,0.00%,B,89,B,89,Not Rated: Senate Bill 1365,58,Not Rated,        .,Not Rated: Senate Bill 1365,58,Not Rated,        .
429,86901,,FREDERICKSBURG ISD,REGION 13: AUSTIN,GILLESPIE,District,No,No,"3,100",59.60%,16.50%,C,78,B,81,C,79,Not Rated: Senate Bill 1365,69,C,79,C,71
430,86902,,HARPER ISD,REGION 15: SAN ANGELO,GILLESPIE,District,No,No,559,33.80%,3.60%,A,91,A,92,B,86,C,79,B,86,B,88
431,87901,,GLASSCOCK COUNTY ISD,REGION 18: MIDLAND,GLASSCOCK,District,No,No,293,17.40%,8.90%,A,97,A,95,A,90,B,85,A,90,A,100
432,88902,,GOLIAD ISD,REGION 03: VICTORIA,GOLIAD,District,No,No,"1,283",53.70%,1.80%,B,85,B,87,B,87,Not Rated: Senate Bill 1365,65,B,87,B,81
433,89901,,GONZALES ISD,REGION 13: AUSTIN,GONZALES,District,No,No,"2,613",70.40%,22.80%,B,81,B,80,B,85,Not Rated: Senate Bill 1365,59,B,85,C,73
434,89903,,NIXON-SMILEY CISD,REGION 13: AUSTIN,GONZALES,District,No,No,"1,064",84.30%,19.10%,B,87,B,81,A,90,A,90,B,83,B,80
435,89905,,WAELDER ISD,REGION 13: AUSTIN,GONZALES,District,No,No,304,95.70%,30.30%,B,80,Not Rated: Senate Bill 1365,64,B,83,B,83,Not Rated: Senate Bill 1365,57,C,72
436,90902,,LEFORS ISD,REGION 16: AMARILLO,GRAY,District,No,No,176,48.90%,3.40%,C,78,C,79,C,75,C,75,C,71,C,75
437,90903,,MCLEAN ISD,REGION 16: AMARILLO,GRAY,District,No,No,185,58.90%,0.50%,A,93,A,90,A,93,B,83,A,93,Not Rated,        .
438,90904,,PAMPA ISD,REGION 16: AMARILLO,GRAY,District,No,No,"3,451",59.10%,18.40%,B,85,B,84,B,89,C,70,B,89,C,75
439,90905,,GRANDVIEW-HOPKINS ISD,REGION 16: AMARILLO,GRAY,District,No,No,46,10.90%,0.00%,B,82,C,78,B,82,B,82,Not Rated: Senate Bill 1365,55,Not Rated,        .
440,91901,,BELLS ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,884,37.90%,2.30%,A,96,A,94,A,92,A,91,A,92,A,100
441,91902,,COLLINSVILLE ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,556,57.40%,5.00%,C,77,B,80,C,76,C,73,C,76,C,71
442,91903,,DENISON ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"4,674",59.30%,8.50%,C,79,B,80,B,80,B,80,C,78,C,75
443,91905,,HOWE ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"1,248",54.30%,10.70%,A,91,A,92,A,91,B,89,A,91,B,88
444,91906,,SHERMAN ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"7,698",74.40%,26.10%,C,78,C,76,B,80,Not Rated: Senate Bill 1365,59,B,80,C,74
445,91907,,TIOGA ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,706,29.30%,6.50%,B,89,A,90,B,84,B,81,B,84,B,85
446,91908,,VAN ALSTYNE ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"2,046",23.20%,4.00%,A,94,A,96,A,93,A,90,A,93,B,89
447,91909,,WHITESBORO ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"1,717",53.80%,6.60%,B,80,B,82,C,78,Not Rated: Senate Bill 1365,60,C,78,C,76
448,91910,,WHITEWRIGHT ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,755,46.50%,5.20%,A,91,A,92,A,92,B,87,A,92,B,89
449,91913,,POTTSBORO ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"1,430",34.80%,1.50%,B,88,A,90,B,86,C,70,B,86,B,82
450,91914,,S AND S CISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,991,46.50%,6.00%,B,87,B,87,B,88,B,80,B,88,B,85
451,91917,,GUNTER ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,"1,113",99.90%,5.60%,A,90,A,92,A,92,B,85,A,92,B,86
452,91918,,TOM BEAN ISD,REGION 10: RICHARDSON,GRAYSON,District,No,No,657,54.60%,6.40%,B,87,B,88,B,86,C,76,B,86,B,86
453,92801,,EAST TEXAS CHARTER SCHOOLS,REGION 07: KILGORE,GREGG,District,Yes,Yes,141,27.00%,0.00%,A,100,A,94,B,87,B,87,Not Rated,        .,A,95
454,92901,,GLADEWATER ISD,REGION 07: KILGORE,GREGG,District,No,No,"1,703",75.70%,7.40%,B,80,C,74,B,84,B,84,C,74,C,71
455,92902,,KILGORE ISD,REGION 07: KILGORE,GREGG,District,No,No,"3,887",76.20%,20.10%,B,86,B,81,A,90,C,73,A,90,C,76
456,92903,,LONGVIEW ISD,REGION 07: KILGORE,GREGG,District,No,No,"8,223",85.20%,22.00%,A,90,B,89,A,91,A,90,A,91,B,89
457,92904,,PINE TREE ISD,REGION 07: KILGORE,GREGG,District,No,No,"4,677",69.20%,15.20%,B,84,B,82,B,84,B,82,B,84,B,84
458,92906,,SABINE ISD,REGION 07: KILGORE,GREGG,District,No,No,"1,531",51.50%,11.30%,A,93,A,93,A,93,A,91,A,93,A,94
459,92907,,SPRING HILL ISD,REGION 07: KILGORE,GREGG,District,No,No,"2,028",49.70%,5.60%,A,95,A,95,A,94,B,80,A,94,A,96
460,92908,,WHITE OAK ISD,REGION 07: KILGORE,GREGG,District,No,No,"1,458",43.20%,1.40%,A,93,A,94,A,93,B,82,A,93,A,92
461,93901,,ANDERSON-SHIRO CISD,REGION 06: HUNTSVILLE,GRIMES,District,No,No,886,41.30%,4.10%,A,92,A,92,A,90,A,90,B,88,A,91
462,93903,,IOLA ISD,REGION 06: HUNTSVILLE,GRIMES,District,No,No,539,35.80%,1.10%,A,94,A,93,A,90,A,90,A,90,A,96
463,93904,,NAVASOTA ISD,REGION 06: HUNTSVILLE,GRIMES,District,No,No,"2,953",79.20%,24.80%,B,86,B,84,A,90,C,79,A,90,C,75
464,93905,,RICHARDS ISD,REGION 06: HUNTSVILLE,GRIMES,District,No,No,213,39.90%,0.00%,B,82,B,83,C,76,Not Rated: Senate Bill 1365,60,C,76,C,79
465,94901,,SEGUIN ISD,REGION 20: SAN ANTONIO,GUADALUPE,District,No,No,"7,039",68.50%,11.80%,Not Rated: Senate Bill 1365,67,C,71,C,71,Not Rated: Senate Bill 1365,60,C,71,Not Rated: Senate Bill 1365,59
466,94902,,SCHERTZ-CIBOLO-U CITY ISD,REGION 20: SAN ANTONIO,GUADALUPE,District,No,No,"15,875",32.50%,3.90%,B,87,B,87,B,82,B,82,C,76,B,86
467,94903,,NAVARRO ISD,REGION 20: SAN ANTONIO,GUADALUPE,District,No,No,"1,971",27.80%,4.60%,B,89,A,90,B,84,B,84,B,81,B,87
468,94904,,MARION ISD,REGION 20: SAN ANTONIO,GUADALUPE,District,No,No,"1,471",42.20%,6.20%,B,89,A,92,A,92,B,82,A,92,B,83
469,95901,,ABERNATHY ISD,REGION 17: LUBBOCK,HALE,District,No,No,820,51.80%,1.80%,A,92,A,92,A,94,B,85,A,94,B,86
470,95902,,COTTON CENTER ISD,REGION 17: LUBBOCK,HALE,District,No,No,99,62.60%,4.00%,B,87,B,88,B,89,Not Rated: Senate Bill 1365,56,B,89,B,82
471,95903,,HALE CENTER ISD,REGION 17: LUBBOCK,HALE,District,No,No,597,67.20%,8.90%,B,87,B,84,A,92,Not Rated: Senate Bill 1365,69,A,92,C,76
472,95904,,PETERSBURG ISD,REGION 17: LUBBOCK,HALE,District,No,No,274,75.50%,6.90%,A,96,A,93,A,94,B,88,A,94,A,100
473,95905,,PLAINVIEW ISD,REGION 17: LUBBOCK,HALE,District,No,No,"4,710",84.40%,10.00%,B,85,B,84,B,89,Not Rated: Senate Bill 1365,65,A,92,C,77
474,96904,,MEMPHIS ISD,REGION 16: AMARILLO,HALL,District,No,No,431,80.50%,16.00%,B,87,B,82,B,89,B,89,B,85,B,82
475,96905,,TURKEY-QUITAQUE ISD,REGION 16: AMARILLO,HALL,District,No,No,193,53.90%,6.20%,A,94,A,96,A,93,B,80,A,93,B,88
476,97902,,HAMILTON ISD,REGION 12: WACO,HAMILTON,District,No,No,832,54.80%,7.60%,A,90,A,92,A,92,B,85,A,92,B,86
477,97903,,HICO ISD,REGION 12: WACO,HAMILTON,District,No,No,603,52.60%,10.00%,B,89,A,90,B,89,B,80,B,89,B,87
478,98901,,GRUVER ISD,REGION 16: AMARILLO,HANSFORD,District,No,No,418,39.20%,21.10%,A,98,A,97,A,96,A,91,A,96,A,100
479,98903,,PRINGLE-MORSE CISD,REGION 16: AMARILLO,HANSFORD,District,No,No,128,68.00%,28.90%,B,86,B,83,B,88,B,85,B,88,B,81
480,98904,,SPEARMAN ISD,REGION 16: AMARILLO,HANSFORD,District,No,No,783,60.00%,20.90%,A,96,A,96,A,95,A,90,A,95,A,95
481,99902,,CHILLICOTHE ISD,REGION 09: WICHITA FALLS,HARDEMAN,District,No,No,199,83.90%,17.60%,B,86,B,87,B,89,B,84,B,89,C,78
482,99903,,QUANAH ISD,REGION 09: WICHITA FALLS,HARDEMAN,District,No,No,497,70.00%,1.60%,A,91,A,91,A,95,A,90,A,95,B,83
483,100903,,KOUNTZE ISD,REGION 05: BEAUMONT,HARDIN,District,No,No,"1,125",59.00%,4.00%,B,88,B,86,A,90,B,89,A,90,B,82
484,100904,,SILSBEE ISD,REGION 05: BEAUMONT,HARDIN,District,No,No,"2,708",63.20%,2.20%,C,74,C,75,C,75,Not Rated: Senate Bill 1365,57,C,75,C,71
485,100905,,HARDIN-JEFFERSON ISD,REGION 05: BEAUMONT,HARDIN,District,No,No,"2,602",37.80%,3.50%,B,89,A,90,B,87,B,87,B,86,B,86
486,100907,,LUMBERTON ISD,REGION 05: BEAUMONT,HARDIN,District,No,No,"4,188",36.20%,2.30%,B,86,B,87,C,79,C,79,C,78,B,84
487,100908,,WEST HARDIN COUNTY CISD,REGION 05: BEAUMONT,HARDIN,District,No,No,568,67.10%,0.20%,B,87,B,80,A,91,A,91,B,82,C,76
488,101871,,A+ UNLIMITED POTENTIAL,REGION 04: HOUSTON,HARRIS,District,No,Yes,145,75.20%,11.70%,B,88,C,75,B,89,B,89,B,84,B,85
489,101871,,A+ UNLIMITED POTENTIAL,REGION 04: HOUSTON,HARRIS,Middle School,No,Yes,145,75.20%,11.70%,B,88,C,75,B,89,B,89,B,84,B,85
490,101810,,ACADEMY OF ACCELERATED LEARNING INC,REGION 04: HOUSTON,HARRIS,District,No,Yes,4,25.00%,100.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
491,101810,,ACADEMY OF ACCELERATED LEARNING INC,REGION 04: HOUSTON,HARRIS,Elementary,No,Yes,4,25.00%,100.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
492,101849,,ACCELERATED INTERMEDIATE ACADEMY,REGION 04: HOUSTON,HARRIS,District,No,Yes,214,93.90%,36.00%,A,95,B,84,A,96,A,96,A,91,A,91
493,101849,,ACCELERATED INTERMEDIATE ACADEMY,REGION 04: HOUSTON,HARRIS,Elementary,No,Yes,199,94.50%,33.70%,B,89,B,80,A,94,A,94,A,90,C,78
494,101849,,ACCELERATED INTERMEDIATE ACADEMY,REGION 04: HOUSTON,HARRIS,Middle School,No,Yes,15,86.70%,66.70%,A,96,B,85,A,96,A,96,A,92,Not Rated,        .
495,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,District,No,No,"61,528",89.90%,42.20%,C,77,Not Rated: Senate Bill 1365,63,B,80,B,80,C,75,Not Rated: Senate Bill 1365,69
496,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,655,93.10%,25.80%,B,80,C,71,B,83,B,83,C,79,C,74
497,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,647,92.90%,70.30%,B,85,Not Rated: Senate Bill 1365,55,B,89,B,89,Not Rated: Senate Bill 1365,57,C,74
498,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,409,91.00%,23.50%,B,80,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
499,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,808,91.50%,24.60%,B,85,Not Rated: Senate Bill 1365,53,B,89,B,89,Not Rated: Senate Bill 1365,55,C,75
500,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,422,91.50%,59.70%,B,89,C,72,A,93,A,93,B,81,B,80
501,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,598,87.60%,48.20%,C,79,Not Rated: Senate Bill 1365,60,B,82,B,82,Not Rated: Senate Bill 1365,66,C,73
502,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,517,94.00%,50.50%,B,83,C,72,B,86,B,86,B,81,C,77
503,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,486,93.00%,62.60%,B,80,Not Rated: Senate Bill 1365,51,B,83,B,83,Not Rated: Senate Bill 1365,53,C,72
504,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,621,91.90%,65.70%,B,84,Not Rated: Senate Bill 1365,55,B,89,B,89,Not Rated: Senate Bill 1365,57,C,73
505,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,484,95.70%,71.10%,C,73,Not Rated: Senate Bill 1365,49,C,77,C,77,Not Rated: Senate Bill 1365,51,Not Rated: Senate Bill 1365,65
506,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,582,84.70%,61.00%,B,82,Not Rated: Senate Bill 1365,50,B,86,B,86,Not Rated: Senate Bill 1365,52,C,73
507,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,399,95.00%,71.70%,B,87,Not Rated: Senate Bill 1365,62,A,92,A,92,C,70,C,75
508,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,611,93.80%,57.40%,C,75,Not Rated: Senate Bill 1365,50,C,77,C,77,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,69
509,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,482,91.70%,74.30%,A,93,C,75,A,97,A,97,B,84,B,83
510,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,394,88.80%,55.60%,B,84,Not Rated: Senate Bill 1365,64,B,88,B,88,C,70,C,75
511,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,532,93.40%,56.20%,B,85,Not Rated: Senate Bill 1365,67,B,88,B,88,C,74,C,78
512,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,489,90.60%,65.20%,B,87,Not Rated: Senate Bill 1365,65,A,92,A,92,C,72,C,75
513,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,433,93.80%,53.60%,A,90,C,78,A,93,A,93,B,88,B,82
514,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,377,92.00%,43.20%,C,73,Not Rated: Senate Bill 1365,57,C,74,C,74,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,69
515,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,786,88.70%,45.40%,C,75,Not Rated: Senate Bill 1365,56,C,77,C,77,Not Rated: Senate Bill 1365,57,C,71
516,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,535,94.00%,43.60%,B,80,Not Rated: Senate Bill 1365,60,B,83,B,83,Not Rated: Senate Bill 1365,67,C,74
517,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,565,88.30%,81.10%,C,72,Not Rated: Senate Bill 1365,51,C,77,C,77,Not Rated: Senate Bill 1365,53,Not Rated: Senate Bill 1365,61
518,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,560,92.10%,50.20%,B,87,Not Rated: Senate Bill 1365,64,A,91,A,91,C,70,C,77
519,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,535,91.40%,59.30%,B,80,Not Rated: Senate Bill 1365,54,B,83,B,83,Not Rated: Senate Bill 1365,56,C,73
520,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,550,88.20%,47.10%,B,82,Not Rated: Senate Bill 1365,56,B,86,B,86,Not Rated: Senate Bill 1365,58,C,74
521,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,522,88.90%,75.90%,B,80,Not Rated: Senate Bill 1365,54,B,83,B,83,Not Rated: Senate Bill 1365,55,C,74
522,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,637,90.10%,51.00%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,48,C,70,C,70,Not Rated: Senate Bill 1365,50,Not Rated: Senate Bill 1365,63
523,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,724,87.30%,29.40%,B,81,Not Rated: Senate Bill 1365,56,B,85,B,85,Not Rated: Senate Bill 1365,58,C,73
524,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,651,92.90%,57.90%,B,85,Not Rated: Senate Bill 1365,59,B,89,A,92,Not Rated: Senate Bill 1365,65,C,76
525,101902,,ALDINE ISD,REGION 04: HOUSTON,HARRIS,Elementary,No,No,790,86.70%,32.00%,C,76,Not Rated: Senate Bill 1365,56,B,80,B,80,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,66
